序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1,1,平安银行,平安银行股份有限公司,深圳市,罗湖区,10578600.0,2318900.0,32744,1991-04-03,--,,银行,商业银行业务,经有关监管机构批准的各项商业银行业务
2,2,万科A,万科企业股份有限公司,深圳市,盐田区,24289711.03,2805181.49,92764,1991-01-29,--,,房地产开发,房地产、物业管理、投资咨询,房地产开发和物业服务
3,4,国农科技,深圳中国农大科技股份有限公司,深圳市,南山区,13860.58,856.67,172,1991-01-14,--,,生物医药,生物医药业务,生物制药
4,5,世纪星源,深圳世纪星源股份有限公司,深圳市,罗湖区,53092.22,1530.84,705,1990-12-10,--,,环保工程、物业管理,酒店经营、物业管理收入、环保业务收入,绿色低碳城市社区建设相关的服务业务
5,6,深振业A,深圳市振业(集团)股份有限公司,深圳市,罗湖区,295945.02,80563.64,370,1992-04-27,--,,房地产开发,物业租赁、房产销售,从事房地产开发与销售
6,7,全新好,深圳市全新好股份有限公司,深圳市,福田区,3964.4,1645.37,102,1992-04-13,--,,物业经营,物业管理及停车费、房屋租赁,物业管理和房屋租赁业等
7,8,神州高铁,神州高铁技术股份有限公司,北京市,海淀区,233093.22,87378.05,2417,1992-05-07,--,,轨道交通设备,轨道交通、酒店服务,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
8,9,中国宝安,中国宝安集团股份有限公司,深圳市,罗湖区,702351.12,13320.38,10944,1991-06-25,--,,综合,高新技术产业、生物医药、房地产,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
9,10,美丽生态,深圳美丽生态股份有限公司,深圳市,宝安区,75788.57,-106142.69,489,1995-10-27,--,,园林工程,燃气销售服务、园林建设、园林设计、苗木销售,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
10,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳市,罗湖区,290469.07,62296.27,5196,1992-03-30,--,,房地产开发,房地产开发、房屋租赁、物业管理、交通运输、饮食服务,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
11,12,南玻A,中国南玻集团股份有限公司,深圳市,南山区,1087940.07,82538.83,12105,1992-02-28,--,,玻璃,玻璃、太阳能产品,"平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售"
12,14,沙河股份,沙河实业股份有限公司,深圳市,南山区,51314.1,763.03,156,1992-06-02,--,,房地产开发,房地产销售、物业管理、代建、综合服务,房地产开发和销售
13,16,深康佳A,康佳集团股份有限公司,深圳市,南山区,3122776.32,505702.52,17822,1992-03-27,--,,电视机,电子、供应链管理,彩电业务、手机业务、白电业务、供应链贸易
14,17,深中华A,深圳中华自行车(集团)股份有限公司,深圳市,深圳市,13749.06,152.96,51,1992-03-31,--,,自行车,自行车及零配件销售、锂电池材料,电动自行车、自行车及零配件的生产和销售以及物业管理。
15,18,神州长城,神州长城股份有限公司,深圳市,龙岗区,649712.5,38009.1,2875,1992-06-16,--,,装修装饰,装饰工程施工、工程总承包、工程设计,建筑装饰工程设计与施工及建筑相关工程施工
16,19,深深宝A,深圳市深宝实业股份有限公司,深圳市,南山区,31576.27,-5409.41,688,1992-10-12,--,,软饮料,工业、贸易、房地产、租赁服务业,食品饮料行业
17,20,深华发A,深圳中恒华发股份有限公司,深圳市,福田区,85804.01,97.44,993,1992-04-28,--,,电子零部件,显示器、注塑件、泡沫件,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
18,21,深科技,深圳长城开发科技股份有限公司,深圳市,福田区,1420977.86,54130.3,24626,1994-02-02,--,,PC、服务器及硬件,硬盘相关产品、自有产品、OEM产品,计算机硬件、通讯设备等。
19,22,深赤湾A,深圳赤湾港航股份有限公司,深圳市,南山区,245621.88,50449.51,1719,1993-05-05,--,,港口,装卸业务、港口配套业务、代理及其他业务、各业务分部间互相抵消,集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
20,23,深天地A,深圳市天地(集团)股份有限公司,深圳市,南山区,122918.71,3050.08,1123,1993-04-29,--,,商品混凝土,房地产、建材,混凝土的生产和销售、房地产的开发与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
21,25,特力A,深圳市特力(集团)股份有限公司,深圳市,罗湖区,34723.73,6686.28,320,1993-06-21,--,,汽车销售,能源、材料和机械电子设备批发,汽车销售、汽车检测维修及配件销售、物业租赁及服务
22,26,飞亚达A,飞亚达(集团)股份有限公司,深圳市,南山区,334580.97,14021.63,5362,1993-06-03,--,,珠宝首饰,钟表,"主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
